trip,stop,timestamp,delay,variant,status
2936635,14827,2022-04-11 18:16:31,31,T211R12,REALTIME
2936635,14821,2022-04-11 18:18:57,57,T211R12,REALTIME
2936635,14819,2022-04-11 18:19:25,25,T211R12,REALTIME
2936635,14818,2022-04-11 18:20:23,23,T211R12,REALTIME
2936635,14815,2022-04-11 18:22:13,73,T211R12,REALTIME
2936635,14547,2022-04-11 18:22:54,54,T211R12,REALTIME
2936635,14546,2022-04-11 18:24:31,31,T211R12,REALTIME
2936635,14540,2022-04-11 18:26:31,31,T211R12,REALTIME
2936635,14538,2022-04-11 18:26:47,-12,T211R12,REALTIME
2936635,14536,2022-04-11 18:29:00,None,T211R12,SCHEDULED
2936635,2150,2022-04-11 18:31:59,0,T211R12,REALTIME
2936635,2148,2022-04-11 18:32:56,-3,T211R12,REALTIME
2936635,2146,2022-04-11 18:34:20,20,T211R12,REALTIME
2936635,2144,2022-04-11 18:35:33,33,T211R12,REALTIME
2936635,2142,2022-04-11 18:36:52,52,T211R12,REALTIME
2936635,2140,2022-04-11 18:39:05,65,T211R12,REALTIME
2936635,2138,2022-04-11 18:43:36,156,T211R12,REALTIME
2936635,2001,2022-04-11 18:44:48,108,T211R12,REALTIME
2936635,2005,2022-04-11 18:46:00,None,T211R12,SCHEDULED
2936635,2007,2022-04-11 18:47:00,None,T211R12,SCHEDULED
2936635,2009,2022-04-11 18:48:00,None,T211R12,SCHEDULED
2936635,2011,2022-04-11 18:50:00,None,T211R12,SCHEDULED
2936635,2015,2022-04-11 18:52:00,None,T211R12,SCHEDULED
2936635,2017,2022-04-11 18:53:00,None,T211R12,SCHEDULED
2936635,2019,2022-04-11 18:55:00,None,T211R12,SCHEDULED
2936635,2021,2022-04-11 18:57:00,None,T211R12,SCHEDULED
2936635,2023,2022-04-11 18:57:45,-14,T211R12,REALTIME
2936635,2025,2022-04-11 18:59:43,-17,T211R12,REALTIME
2936635,2027,2022-04-11 19:02:00,None,T211R12,SCHEDULED
2936635,2029,2022-04-11 19:02:36,-23,T211R12,REALTIME
2936635,2031,2022-04-11 19:04:00,None,T211R12,SCHEDULED
2936635,2033,2022-04-11 19:05:07,7,T211R12,REALTIME
2936635,2035,2022-04-11 19:07:00,None,T211R12,SCHEDULED
2936635,2037,2022-04-11 19:07:47,-12,T211R12,REALTIME
2936635,2039,2022-04-11 19:09:00,None,T211R12,SCHEDULED
2936635,2041,2022-04-11 19:10:18,18,T211R12,REALTIME
2936635,2043,2022-04-11 19:11:18,18,T211R12,REALTIME
2936635,202,2022-04-11 19:13:00,None,T211R12,SCHEDULED
