id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
424,1030,008-02,2916824,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
425,1031,008-03,2917608,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
478,1043,008-06,2909714,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
407,1011,008-07,2911407,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
424,1030,008-02,2916824,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
425,1031,008-03,2917608,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
425,1031,008-03,2917608,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
407,1011,008-07,2911407,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
411,1017,008-08,2912154,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
141536,1051,008-05,2915610,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
440,1034,008-01,2909468,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
478,1043,008-06,2909715,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
424,1030,008-02,2916825,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
407,1011,008-07,2911408,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
425,1031,008-03,2917609,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
141536,1051,008-05,2915611,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
411,1017,008-08,2912155,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
141536,1051,008-05,2915611,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
411,1017,008-08,2912155,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
478,1043,008-06,2909716,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
407,1011,008-07,2911409,Pesa  Bydgoszcz  S.A.,120NaG,2010,Pojazd niskopod這gowy,6
145821,1072,008-47,2900818,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopod這gowy,12
425,1031,008-03,2917610,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
411,1017,008-08,2912156,Pesa  Bydgoszcz  S.A.,120NaG,2011,Pojazd niskopod這gowy,6
141536,1051,008-05,2915612,Pesa  Bydgoszcz  S.A.,128NG,2014,Pojazd niskopod這gowy,12
