tram_line,start_date,end_date
10,2022-02-24 15:50:50,2022-02-24 17:46:36
12,2022-02-24 15:50:50,2022-02-24 17:46:36
2,2022-02-25 13:51:50,2022-02-25 14:20:15
4,2022-02-25 13:51:50,2022-02-25 14:20:15
8,2022-02-25 13:51:50,2022-02-25 14:20:15
9,2022-03-02 15:08:18,2022-03-02 16:08:18
6,2022-03-02 15:08:18,2022-03-02 16:08:18
5,2022-03-02 15:08:18,2022-03-02 16:08:18
12,2022-03-02 15:08:18,2022-03-02 16:08:18
12,2022-03-02 15:08:18,2022-03-02 16:50:18
6,2022-03-02 15:08:18,2022-03-02 16:50:18
9,2022-03-02 15:08:18,2022-03-02 16:50:18
5,2022-03-02 15:08:18,2022-03-02 16:50:18
12,2022-03-03 19:50:26,2022-03-03 21:40:52
2,2022-03-03 20:58:11,2022-03-03 21:45:11
3,2022-03-03 20:58:11,2022-03-03 21:45:11
6,2022-03-03 20:58:11,2022-03-03 21:45:11
10,2022-03-04 10:03:33,2022-03-04 11:40:33
8,2022-03-14 10:33:02,2022-03-14 11:15:02
10,2022-03-14 10:33:02,2022-03-14 11:15:02
7,2022-03-14 16:28:38,2022-03-14 17:20:38
10,2022-03-14 16:28:38,2022-03-14 17:20:38
8,2022-03-14 16:28:38,2022-03-14 17:20:38
9,2022-03-15 15:27:10,2022-03-15 16:30:10
3,2022-03-15 15:27:10,2022-03-15 16:30:10
12,2022-03-15 15:27:10,2022-03-15 16:30:10
2,2022-03-15 15:27:10,2022-03-15 16:30:10
6,2022-03-15 15:27:10,2022-03-15 16:30:10
4,2022-03-15 15:27:10,2022-03-15 16:30:10
8,2022-03-15 17:44:48,2022-03-15 18:02:27
9,2022-03-15 17:44:48,2022-03-15 18:02:27
2,2022-03-15 17:55:36,2022-03-15 19:16:11
3,2022-03-15 17:55:36,2022-03-15 19:16:11
6,2022-03-15 17:55:36,2022-03-15 19:16:11
12,2022-03-16 10:00:48,2022-03-16 10:45:48
2,2022-03-16 11:22:29,2022-03-16 12:10:29
9,2022-03-16 15:38:09,2022-03-16 15:55:09
6,2022-03-16 15:38:09,2022-03-16 15:55:09
12,2022-03-16 15:38:09,2022-03-16 15:55:09
4,2022-03-16 15:38:09,2022-03-16 15:55:09
3,2022-03-16 15:38:09,2022-03-16 15:55:09
2,2022-03-16 15:38:09,2022-03-16 15:55:09
9,2022-03-16 15:38:09,2022-03-16 16:33:09
12,2022-03-16 15:38:09,2022-03-16 16:33:09
3,2022-03-16 15:38:09,2022-03-16 16:33:09
6,2022-03-16 15:38:09,2022-03-16 16:33:09
4,2022-03-16 15:38:09,2022-03-16 17:10:13
2,2022-03-16 15:38:09,2022-03-16 17:10:13
8,2022-03-16 16:21:13,2022-03-16 17:10:13
