trip,stopId,stopName,timestamp,delay,variant,status
3268824,14825,Lawendowe Wzgórze,2022-04-23 04:42:00,0,T201R12,REALTIME
3268824,14827,Ujeścisko,2022-04-23 04:45:34,34,T201R12,REALTIME
3268824,14821,Zabornia,2022-04-23 04:49:00,120,T201R12,REALTIME
3268824,14819,Stolema,2022-04-23 04:49:58,118,T201R12,REALTIME
3268824,14818,Łabędzia,2022-04-23 04:51:26,146,T201R12,REALTIME
3268824,14815,Królewskie Wzgórze,2022-04-23 04:52:27,147,T201R12,REALTIME
3268824,14547,Migowo,2022-04-23 04:54:19,199,T201R12,REALTIME
3268824,14546,Budapesztańska,2022-04-23 04:55:25,145,T201R12,REALTIME
3268824,14540,Warneńska,2022-04-23 04:57:36,156,T201R12,REALTIME
3268824,14538,Belgradzka,2022-04-23 04:58:46,166,T201R12,REALTIME
3268824,14536,Piekarnicza,2022-04-23 05:00:41,161,T201R12,REALTIME
3268824,2150,Siedlce,2022-04-23 05:03:06,126,T201R12,REALTIME
3268824,2148,Skrajna,2022-04-23 05:04:41,161,T201R12,REALTIME
3268824,2146,Zakopiańska,2022-04-23 05:05:29,149,T201R12,REALTIME
3268824,2144,Ciasna,2022-04-23 05:07:18,198,T201R12,REALTIME
3268824,2142,Paska,2022-04-23 05:08:30,210,T201R12,REALTIME
3269551,2005,Brama Oliwska,2022-04-23 06:15:24,24,T201R12,REALTIME
3269551,2007,Chodowieckiego,2022-04-23 06:16:06,6,T201R12,REALTIME
3268824,2140,Powstańców Warszawskich,2022-04-23 05:11:09,249,T201R12,REALTIME
3269551,2011,Traugutta,2022-04-23 06:18:47,-12,T201R12,REALTIME
3259676,14825,Lawendowe Wzgórze,2022-04-23 05:12:41,41,T201R12,REALTIME
3268824,2138,Hucisko,2022-04-23 05:14:04,244,T201R12,REALTIME
3268824,2001,Dworzec Główny,2022-04-23 05:15:47,227,T201R12,REALTIME
3259676,14827,Ujeścisko,2022-04-23 05:15:46,46,T201R12,REALTIME
3259676,14821,Zabornia,2022-04-23 05:18:23,83,T201R12,REALTIME
3268824,2005,Brama Oliwska,2022-04-23 05:18:44,224,T201R12,REALTIME
3259676,14819,Stolema,2022-04-23 05:19:36,96,T201R12,REALTIME
3268824,2007,Chodowieckiego,2022-04-23 05:19:36,216,T201R12,REALTIME
3259676,14818,Łabędzia,2022-04-23 05:20:32,92,T201R12,REALTIME
3268824,2009,Uniwersytet Medyczny,2022-04-23 05:21:11,251,T201R12,REALTIME
3259676,14815,Królewskie Wzgórze,2022-04-23 05:21:42,102,T201R12,REALTIME
3268824,2011,Traugutta,2022-04-23 05:22:13,193,T201R12,REALTIME
3259676,14547,Migowo,2022-04-23 05:23:16,136,T201R12,REALTIME
3268824,2015,Opera Bałtycka,2022-04-23 05:24:28,208,T201R12,REALTIME
3259676,14546,Budapesztańska,2022-04-23 05:24:45,105,T201R12,REALTIME
3268824,2017,Politechnika,2022-04-23 05:24:50,170,T201R12,REALTIME
3268824,2019,Miszewskiego,2022-04-23 05:27:31,211,T201R12,REALTIME
3259676,14540,Warneńska,2022-04-23 05:27:36,156,T201R12,REALTIME
3259676,14538,Belgradzka,2022-04-23 05:27:52,112,T201R12,REALTIME
3268824,2021,Jaśkowa Dolina,2022-04-23 05:27:46,106,T201R12,REALTIME
3259676,14536,Piekarnicza,2022-04-23 05:29:15,75,T201R12,REALTIME
3268824,2023,Klonowa,2022-04-23 05:29:39,159,T201R12,REALTIME
3268824,2025,Galeria Bałtycka,2022-04-23 05:31:45,165,T201R12,REALTIME
3259676,2150,Siedlce,2022-04-23 05:32:13,73,T201R12,REALTIME
3268824,2027,Wojska Polskiego,2022-04-23 05:32:47,107,T201R12,REALTIME
3268824,2029,Zamenhofa,2022-04-23 05:33:58,118,T201R12,REALTIME
3259676,2148,Skrajna,2022-04-23 05:33:41,101,T201R12,REALTIME
3259676,2146,Zakopiańska,2022-04-23 05:34:27,87,T201R12,REALTIME
3268824,2031,Zajezdnia,2022-04-23 05:35:40,160,T201R12,REALTIME
3259676,2144,Ciasna,2022-04-23 05:35:31,91,T201R12,REALTIME
3259676,2142,Paska,2022-04-23 05:36:26,86,T201R12,REALTIME
3268824,2033,Strzyża PKM,2022-04-23 05:36:57,177,T201R12,REALTIME
3259676,2140,Powstańców Warszawskich,2022-04-23 05:38:09,69,T201R12,REALTIME
3268824,2035,Uniwersytet Gdański,2022-04-23 05:38:14,134,T201R12,REALTIME
3268824,2037,Bażyńskiego,2022-04-23 05:39:37,157,T201R12,REALTIME
3268824,2039,Tetmajera,2022-04-23 05:40:14,134,T201R12,REALTIME
3259676,2138,Hucisko,2022-04-23 05:41:40,100,T201R12,REALTIME
3268824,2041,Derdowskiego,2022-04-23 05:41:06,126,T201R12,REALTIME
3259676,2001,Dworzec Główny,2022-04-23 05:42:23,23,T201R12,REALTIME
3268824,2043,Obrońców Westerplatte,2022-04-23 05:42:13,133,T201R12,REALTIME
3269551,14825,Lawendowe Wzgórze,2022-04-23 05:42:02,2,T201R12,REALTIME
3268824,202,Oliwa,2022-04-23 05:49:01,421,T201R12,REALTIME
3269551,14827,Ujeścisko,2022-04-23 05:44:58,-1,T201R12,REALTIME
3259676,2005,Brama Oliwska,2022-04-23 05:45:00,None,T201R12,SCHEDULED
3259676,2007,Chodowieckiego,2022-04-23 05:46:00,None,T201R12,SCHEDULED
