trip,stopId,stopName,timestamp,delay,variant,status
3229290,14825,Lawendowe Wzgórze,2022-04-22 04:39:02,2,T201R12,REALTIME
3229290,14827,Ujeścisko,2022-04-22 04:42:16,16,T201R12,REALTIME
3229290,14821,Zabornia,2022-04-22 04:44:47,47,T201R12,REALTIME
3229290,14819,Stolema,2022-04-22 04:45:58,58,T201R12,REALTIME
3229290,14818,Łabędzia,2022-04-22 04:47:11,71,T201R12,REALTIME
3229290,14815,Królewskie Wzgórze,2022-04-22 04:47:37,37,T201R12,REALTIME
3229290,14547,Migowo,2022-04-22 04:48:37,37,T201R12,REALTIME
3229290,14546,Budapesztańska,2022-04-22 04:50:26,26,T201R12,REALTIME
3229290,14540,Warneńska,2022-04-22 04:52:35,35,T201R12,REALTIME
3229290,14538,Belgradzka,2022-04-22 04:54:03,63,T201R12,REALTIME
3229290,14536,Piekarnicza,2022-04-22 04:55:00,None,T201R12,SCHEDULED
3229290,2150,Siedlce,2022-04-22 04:57:55,-4,T201R12,REALTIME
3229290,2148,Skrajna,2022-04-22 04:59:01,1,T201R12,REALTIME
3229304,14825,Lawendowe Wzgórze,2022-04-22 04:58:59,0,T201R12,REALTIME
3229290,2146,Zakopiańska,2022-04-22 05:00:00,None,T201R12,SCHEDULED
3229290,2144,Ciasna,2022-04-22 05:01:00,None,T201R12,SCHEDULED
3229290,2142,Paska,2022-04-22 05:02:00,None,T201R12,SCHEDULED
3229304,14827,Ujeścisko,2022-04-22 05:02:44,44,T201R12,REALTIME
3229290,2140,Powstańców Warszawskich,2022-04-22 05:04:41,41,T201R12,REALTIME
3229304,14821,Zabornia,2022-04-22 05:04:33,33,T201R12,REALTIME
3229304,14819,Stolema,2022-04-22 05:05:00,None,T201R12,SCHEDULED
3229304,14818,Łabędzia,2022-04-22 05:06:29,29,T201R12,REALTIME
3229290,2138,Hucisko,2022-04-22 05:07:56,56,T201R12,REALTIME
3229304,14815,Królewskie Wzgórze,2022-04-22 05:07:24,24,T201R12,REALTIME
3229304,14547,Migowo,2022-04-22 05:08:39,39,T201R12,REALTIME
3229290,2001,Dworzec Główny,2022-04-22 05:10:02,62,T201R12,REALTIME
3229304,14546,Budapesztańska,2022-04-22 05:09:57,-2,T201R12,REALTIME
3229304,14540,Warneńska,2022-04-22 05:12:18,18,T201R12,REALTIME
3229290,2005,Brama Oliwska,2022-04-22 05:12:57,57,T201R12,REALTIME
3229290,2007,Chodowieckiego,2022-04-22 05:13:47,47,T201R12,REALTIME
3229304,14538,Belgradzka,2022-04-22 05:13:49,49,T201R12,REALTIME
3229290,2009,Uniwersytet Medyczny,2022-04-22 05:15:26,86,T201R12,REALTIME
3229304,14536,Piekarnicza,2022-04-22 05:15:31,31,T201R12,REALTIME
3229290,2011,Traugutta,2022-04-22 05:16:42,42,T201R12,REALTIME
3229304,2150,Siedlce,2022-04-22 05:18:41,41,T201R12,REALTIME
3229290,2015,Opera Bałtycka,2022-04-22 05:19:06,66,T201R12,REALTIME
3229318,14825,Lawendowe Wzgórze,2022-04-22 05:19:02,2,T201R12,REALTIME
3229304,2148,Skrajna,2022-04-22 05:19:44,44,T201R12,REALTIME
3229290,2017,Politechnika,2022-04-22 05:19:42,42,T201R12,REALTIME
3229304,2146,Zakopiańska,2022-04-22 05:21:09,69,T201R12,REALTIME
3229290,2019,Miszewskiego,2022-04-22 05:21:00,None,T201R12,SCHEDULED
3229318,14827,Ujeścisko,2022-04-22 05:21:50,-9,T201R12,REALTIME
3229304,2144,Ciasna,2022-04-22 05:22:13,73,T201R12,REALTIME
3229290,2021,Jaśkowa Dolina,2022-04-22 05:23:00,None,T201R12,SCHEDULED
3229304,2142,Paska,2022-04-22 05:23:27,87,T201R12,REALTIME
3229318,14821,Zabornia,2022-04-22 05:23:33,-26,T201R12,REALTIME
3229318,14819,Stolema,2022-04-22 05:25:00,None,T201R12,SCHEDULED
3229304,2140,Powstańców Warszawskich,2022-04-22 05:24:51,51,T201R12,REALTIME
3229290,2023,Klonowa,2022-04-22 05:24:00,None,T201R12,SCHEDULED
3229318,14818,Łabędzia,2022-04-22 05:25:18,-41,T201R12,REALTIME
3229290,2025,Galeria Bałtycka,2022-04-22 05:26:00,None,T201R12,SCHEDULED
3229318,14815,Królewskie Wzgórze,2022-04-22 05:26:31,-28,T201R12,REALTIME
3229304,2138,Hucisko,2022-04-22 05:28:53,113,T201R12,REALTIME
3229290,2027,Wojska Polskiego,2022-04-22 05:28:00,None,T201R12,SCHEDULED
3229318,14547,Migowo,2022-04-22 05:28:00,None,T201R12,SCHEDULED
3229304,2001,Dworzec Główny,2022-04-22 05:29:09,9,T201R12,REALTIME
3229290,2029,Zamenhofa,2022-04-22 05:29:00,None,T201R12,SCHEDULED
3229318,14546,Budapesztańska,2022-04-22 05:30:00,None,T201R12,SCHEDULED
3229290,2031,Zajezdnia,2022-04-22 05:30:00,None,T201R12,SCHEDULED
3229290,2033,Strzyża PKM,2022-04-22 05:31:00,None,T201R12,SCHEDULED
3229318,14540,Warneńska,2022-04-22 05:32:00,None,T201R12,SCHEDULED
3229304,2005,Brama Oliwska,2022-04-22 05:32:00,None,T201R12,SCHEDULED
3229318,14538,Belgradzka,2022-04-22 05:33:00,None,T201R12,SCHEDULED
3229304,2007,Chodowieckiego,2022-04-22 05:33:00,None,T201R12,SCHEDULED
3229290,2035,Uniwersytet Gdański,2022-04-22 05:33:00,None,T201R12,SCHEDULED
3229304,2009,Uniwersytet Medyczny,2022-04-22 05:34:00,None,T201R12,SCHEDULED
3229290,2037,Bażyńskiego,2022-04-22 05:34:00,None,T201R12,SCHEDULED
3229318,14536,Piekarnicza,2022-04-22 05:35:00,None,T201R12,SCHEDULED
3229290,2039,Tetmajera,2022-04-22 05:35:00,None,T201R12,SCHEDULED
3229290,2041,Derdowskiego,2022-04-22 05:36:00,None,T201R12,SCHEDULED
3229304,2011,Traugutta,2022-04-22 05:36:00,None,T201R12,SCHEDULED
3229290,2043,Obrońców Westerplatte,2022-04-22 05:37:00,None,T201R12,SCHEDULED
3229304,2015,Opera Bałtycka,2022-04-22 05:38:00,None,T201R12,SCHEDULED
3229318,2150,Siedlce,2022-04-22 05:38:00,None,T201R12,SCHEDULED
3229304,2017,Politechnika,2022-04-22 05:39:00,None,T201R12,SCHEDULED
3229290,202,Oliwa,2022-04-22 05:39:00,None,T201R12,SCHEDULED
3229346,14825,Lawendowe Wzgórze,2022-04-22 05:39:04,4,T201R12,REALTIME
3229318,2148,Skrajna,2022-04-22 05:39:22,22,T201R12,REALTIME
3229318,2146,Zakopiańska,2022-04-22 05:39:22,-38,T201R12,REALTIME
3229304,2019,Miszewskiego,2022-04-22 05:40:21,-39,T201R12,REALTIME
3229318,2144,Ciasna,2022-04-22 05:41:00,None,T201R12,SCHEDULED
3229318,2142,Paska,2022-04-22 05:42:00,None,T201R12,SCHEDULED
3229346,14827,Ujeścisko,2022-04-22 05:42:24,24,T201R12,REALTIME
3229346,2001,Dworzec Główny,2022-04-22 06:10:32,92,T201R12,REALTIME
3229304,2021,Jaśkowa Dolina,2022-04-22 05:43:00,None,T201R12,SCHEDULED
3229318,2140,Powstańców Warszawskich,2022-04-22 05:43:28,-32,T201R12,REALTIME
3229304,2023,Klonowa,2022-04-22 05:44:07,7,T201R12,REALTIME
3229346,14821,Zabornia,2022-04-22 05:45:18,78,T201R12,REALTIME
3229346,14819,Stolema,2022-04-22 05:45:45,45,T201R12,REALTIME
3229304,2025,Galeria Bałtycka,2022-04-22 05:46:30,30,T201R12,REALTIME
3229318,2138,Hucisko,2022-04-22 05:48:26,86,T201R12,REALTIME
3229346,14818,Łabędzia,2022-04-22 05:47:12,72,T201R12,REALTIME
3229346,14815,Królewskie Wzgórze,2022-04-22 05:47:57,57,T201R12,REALTIME
3229346,14547,Migowo,2022-04-22 05:48:44,44,T201R12,REALTIME
3229304,2027,Wojska Polskiego,2022-04-22 05:48:00,None,T201R12,SCHEDULED
3229318,2001,Dworzec Główny,2022-04-22 05:49:16,16,T201R12,REALTIME
3229304,2029,Zamenhofa,2022-04-22 05:49:00,None,T201R12,SCHEDULED
3229346,14546,Budapesztańska,2022-04-22 05:50:16,16,T201R12,REALTIME
3229304,2031,Zajezdnia,2022-04-22 05:50:00,None,T201R12,SCHEDULED
3229304,2033,Strzyża PKM,2022-04-22 05:50:55,-4,T201R12,REALTIME
3229318,2005,Brama Oliwska,2022-04-22 05:52:09,9,T201R12,REALTIME
3229346,14540,Warneńska,2022-04-22 05:53:32,92,T201R12,REALTIME
3229318,2007,Chodowieckiego,2022-04-22 05:52:58,-1,T201R12,REALTIME
3229304,2035,Uniwersytet Gdański,2022-04-22 05:52:55,-4,T201R12,REALTIME
3244269,14825,Lawendowe Wzgórze,2022-04-22 05:52:59,0,T201R12,REALTIME
3229318,2009,Uniwersytet Medyczny,2022-04-22 05:53:55,-4,T201R12,REALTIME
3229304,2037,Bażyńskiego,2022-04-22 05:54:04,4,T201R12,REALTIME
3229346,14538,Belgradzka,2022-04-22 05:54:17,77,T201R12,REALTIME
3229304,2039,Tetmajera,2022-04-22 05:54:57,-2,T201R12,REALTIME
3229346,14536,Piekarnicza,2022-04-22 05:55:59,59,T201R12,REALTIME
3229318,2011,Traugutta,2022-04-22 05:56:00,None,T201R12,SCHEDULED
3229304,2041,Derdowskiego,2022-04-22 05:56:05,5,T201R12,REALTIME
3244269,14827,Ujeścisko,2022-04-22 05:56:35,35,T201R12,REALTIME
3229304,2043,Obrońców Westerplatte,2022-04-22 05:57:06,6,T201R12,REALTIME
3229318,2015,Opera Bałtycka,2022-04-22 05:57:40,-20,T201R12,REALTIME
3229346,2150,Siedlce,2022-04-22 05:58:41,41,T201R12,REALTIME
3244269,14821,Zabornia,2022-04-22 05:58:34,34,T201R12,REALTIME
3244269,14819,Stolema,2022-04-22 05:58:57,-2,T201R12,REALTIME
3229304,202,Oliwa,2022-04-22 05:59:00,None,T201R12,SCHEDULED
3229318,2017,Politechnika,2022-04-22 05:59:18,18,T201R12,REALTIME
3229346,2148,Skrajna,2022-04-22 06:00:52,112,T201R12,REALTIME
3229346,2146,Zakopiańska,2022-04-22 06:01:44,104,T201R12,REALTIME
3244269,14818,Łabędzia,2022-04-22 06:00:24,24,T201R12,REALTIME
3229346,2144,Ciasna,2022-04-22 06:01:37,37,T201R12,REALTIME
3229318,2019,Miszewskiego,2022-04-22 06:01:00,None,T201R12,SCHEDULED
3244269,14815,Królewskie Wzgórze,2022-04-22 06:01:38,38,T201R12,REALTIME
3244269,14547,Migowo,2022-04-22 06:02:44,44,T201R12,REALTIME
3229346,2142,Paska,2022-04-22 06:03:20,80,T201R12,REALTIME
3229318,2021,Jaśkowa Dolina,2022-04-22 06:03:00,None,T201R12,SCHEDULED
