id,code,service,usedInTrip,brand,model,productionYear,floorHeight,passengersDoors
145826,1077,012-01,3090258,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145826,1077,012-01,3090258,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145754,1064,012-04,3092148,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145832,1083,012-05,3089431,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145754,1064,012-04,3092148,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145832,1083,012-05,3089431,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145760,1070,012-02,3095000,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145753,1063,012-06,3096363,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145820,1071,012-03,3091596,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145833,1084,012-07,3093755,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145754,1064,012-04,3092149,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145831,1082,012-08,3092466,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145832,1083,012-05,3089432,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145826,1077,012-01,3090259,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145753,1063,012-06,3096364,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145760,1070,012-02,3095001,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145833,1084,012-07,3093756,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145820,1071,012-03,3091597,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145831,1082,012-08,3092467,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145754,1064,012-04,3092150,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145826,1077,012-01,3090260,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145832,1083,012-05,3089433,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145760,1070,012-02,3095002,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145753,1063,012-06,3096365,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145820,1071,012-03,3091598,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145833,1084,012-07,3093757,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
145754,1064,012-04,3092151,Pesa  Bydgoszcz  S.A.,128NG,2020,Pojazd niskopodłogowy,12
