stopName,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
Lostowice Swietokrzyska,431.56,356.29,468.32,514.25,417.81
Plocka,259.91,374.90,207.29,144.40,278.94
Przemyska,207.01,314.54,157.80,98.36,224.91
Wilanowska,259.99,361.72,213.44,150.92,277.97
Cebertowicza,239.30,332.99,196.43,124.30,258.25
Cieszynskiego,256.52,355.21,213.76,134.07,276.70
Sikorskiego,263.98,367.06,217.36,145.55,283.45
Chalubinskiego,246.09,351.88,198.25,125.84,265.86
Odrzanska,216.58,319.50,170.23,96.46,234.98
Pohulanka,236.88,340.48,190.45,116.26,256.72
Srodmiescie SKM,295.00,515.45,233.49,182.69,317.46
Brama Wyzynna,247.41,328.38,210.42,148.75,264.88
Dworzec Glowny,255.75,346.99,210.21,214.94,262.17
Brama Oliwska,244.63,346.23,184.89,204.29,250.24
Chodowieckiego,222.04,322.64,162.72,181.04,227.75
Uniwersytet Medyczny,258.05,365.29,188.76,222.10,262.69
Traugutta,235.40,330.53,178.08,185.21,242.39
Opera Baltycka,228.68,331.45,168.81,191.81,233.81
Wyspianskiego,177.43,218.47,159.97,144.03,183.95
Reja,162.32,203.06,145.19,129.14,168.79
Mickiewicza,192.13,240.88,171.38,154.24,199.52
Plac Komorowskiego,198.74,248.19,178.60,158.44,206.61
Legionow,191.34,238.09,171.58,147.09,199.98
Bajana,168.53,211.47,150.36,128.11,176.41
Zwirki i Wigury,162.08,205.02,144.25,120.56,170.18
Jana Pawla II,162.37,203.84,145.16,121.09,170.43
Startowa,160.73,201.81,143.57,118.54,168.96
Zaspa,173.12,218.53,154.27,130.84,181.37
Kolobrzeska,181.35,222.72,164.49,138.22,189.77
Bora-Komorowskiego,190.08,239.42,169.84,149.90,197.92
Czerwony Dwor,159.20,201.73,142.30,116.74,167.49
Piastowska,177.83,224.22,159.51,133.46,186.49
Pomorska,181.89,231.50,162.53,129.58,192.09
Gospody,228.42,415.34,144.75,116.50,247.36
Pomorska - Osiedle,176.18,370.02,111.37,76.58,196.27
Subislawa,178.18,371.07,116.03,78.55,198.27
Opacka,182.61,365.37,122.98,79.00,203.50
Oliwa,349.91,433.97,312.56,434.45,337.69
Strzyza PKM,256.91,361.55,192.05,259.90,256.58
Zajezdnia,198.54,286.77,140.87,191.72,199.31
Zamenhofa,199.81,290.34,139.16,192.03,200.69
Wojska Polskiego,214.28,309.82,151.32,195.00,216.46
Galeria Baltycka,207.44,309.24,140.89,189.40,209.47
Klonowa,205.63,310.45,141.24,188.26,207.59
Jaskowa Dolina,216.51,325.32,149.95,192.95,219.17
Miszewskiego,216.35,326.20,149.14,186.23,219.74
Politechnika,216.77,316.16,152.06,191.54,219.61
Stogi,137.06,154.31,128.22,73.32,147.13
Zimna,162.55,178.95,153.80,96.72,172.94
Ugory eMOCja,150.96,166.18,142.84,88.91,160.76
Kaczence,156.27,174.39,147.08,92.20,166.38
Sucharskiego,161.54,179.55,152.46,102.34,170.89
Lenartowicza,161.49,177.68,153.05,101.80,170.92
Przerobka,160.67,173.01,154.52,100.14,170.23
Gleboka,170.52,183.47,164.03,105.78,180.74
Brama Zulawska,183.97,207.55,171.16,122.31,193.70
Akademia Muzyczna,201.31,247.51,176.50,117.95,214.47
Chmielna,236.74,279.95,213.01,150.09,250.42
Zabi Kruk,225.67,270.91,199.96,135.01,239.98
Okopowa,228.15,273.15,202.58,140.36,242.01
Plac Solidarnosci,138.53,134.79,139.93,129.10,140.17
Stocznia SKM,106.35,99.05,109.09,99.44,107.55
Stocznia Polnocna,102.29,94.17,105.42,94.48,103.66
Twarda,105.70,100.35,107.75,100.10,106.67
Kliniczna,139.44,132.19,142.40,132.72,140.61
Osiedle Wejhera,172.87,248.40,135.20,111.61,180.39
Helska,128.89,206.61,90.97,84.79,134.30
Jelitkowo,660.39,738.12,622.75,675.22,658.57
Stogi Plaza,370.23,342.89,383.37,402.33,362.46
Lawendowe Wzgorze,474.99,598.52,418.40,560.15,458.76
Ujescisko,247.27,375.60,179.48,311.60,239.89
Zabornia,285.02,415.08,216.32,360.34,276.38
Stolema,256.35,388.20,186.71,327.23,248.22
Labedzia,265.46,377.91,199.72,335.36,257.44
Krolewskie Wzgorze,282.98,398.80,216.95,353.83,274.85
Migowo,286.55,403.03,216.73,359.28,278.20
Budapesztanska,252.93,369.70,185.23,334.81,243.53
Belgradzka,279.64,394.10,213.28,353.98,271.11
Warnenska,282.24,401.48,213.12,362.21,273.07
Piekarnicza,247.08,361.65,180.65,324.06,238.24
Siedlce,272.90,373.38,214.16,351.06,263.94
Skrajna,282.58,391.87,218.68,358.92,273.82
Zakopianska,271.96,385.92,207.53,349.66,263.05
Ciasna,292.69,411.11,227.97,373.40,283.44
Paska,294.52,427.31,221.95,364.45,286.50
Powstancow Warszawskich,314.58,450.67,240.20,386.77,306.30
Hucisko,341.19,464.70,269.59,402.15,334.20
Uniwersytet Gdanski,242.73,380.87,166.75,271.08,239.91
Bazynskiego,252.86,387.28,178.93,281.12,250.04
Tetmajera,238.74,376.39,163.03,273.47,235.28
Derdowskiego,246.01,380.38,169.59,271.32,243.48
Obroncow Westerplatte,248.54,380.53,176.43,282.12,245.19
Rozlogi,172.09,174.79,170.47,72.19,197.06
Wezel Groddecka,203.20,221.22,169.17,-,203.20
Urzad Miejski,188.96,206.45,147.77,-,188.96
Dworzec PKS,146.97,169.72,109.05,-,146.97
Chelm Witosa,244.00,-,244.00,-,244.00
