service,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
002-13,201.0,231,181,-,201.0
002-02,138.5,224,128,140,135
002-04,130.0,95.5,131.0,89.0,163.5
006-10,153.0,144,155,-,153.0
006-71,239.5,-,239.5,-,239.5
006-72,101,-,101,-,101
006-73,110,-,110,-,110
006-74,123.0,-,123.0,-,123.0
006-04,173,833.0,128,-,173
008-13,96.0,108.0,92.0,-,96.0
009-11,161.5,167,136,-,161.5
009-31,254.0,295.0,216.0,-,254.0
009-32,182.5,182.5,-,-,182.5
012-14,162,165.0,160,-,162
012-02,198.0,302.0,128.0,200.0,197.0
012-06,165.5,4448,156,166,165
012-01,144.0,200,116,164.0,132.0
009-01,118.0,159,101,79,128
006-05,141.0,837.0,93.5,119.0,147.5
012-07,125.0,114.5,133.0,142.5,121.0
009-02,124.0,127,122,94.0,139.5
006-02,213,555.0,143,196,221.0
008-05,115.0,118.0,113.0,150.5,106.0
009-04,172,292,132.0,104,217.0
008-07,101.0,137.5,93.0,129.5,95.0
012-08,133.0,155,118,101.0,140.0
012-32,117,-,117,-,117
006-21,117.0,153.0,86.5,-,117.0
009-05,147,163,138.0,128,150.0
009-15,112,112,167.0,-,112
012-03,125,158.0,107,250.0,114
012-11,170.0,280,141,-,170.0
012-05,131,130.0,133,135,130.0
008-15,118.0,129,116,-,118.0
006-03,134,150.0,124,-,134
004-13,213.5,195.0,473.5,-,213.5
004-02,161.5,194,139,-,161.5
012-10,164.5,178,157,-,164.5
006-20,72.0,30.0,104.0,-,72.0
009-12,101.0,101.0,-,-,101.0
004-04,116.0,116.0,-,-,116.0
009-03,114.0,185,104,67.5,124.0
004-05,122.0,117.0,156.0,-,122.0
002-06,175,143,180.0,112,186.5
008-08,104.0,121,100,113.0,101.0
004-08,204.0,225,195,-,204.0
004-11,129.5,127.5,131.0,-,129.5
008-10,121.0,-,121.0,-,121.0
012-09,129.0,185.0,119.0,-,129.0
002-01,118.0,105.0,118.0,84,152
012-15,163.0,177.0,148.0,-,163.0
009-33,120,119,154.5,-,120
002-05,123.0,146.5,122.0,119,132
002-08,133.0,113,138,138.0,126.0
002-12,127.0,74.5,129.0,-,127.0
004-06,171.5,171.5,-,-,171.5
002-07,151,323,117.0,108,166.5
008-09,111.5,100,119,-,111.5
002-11,215.0,401,141,-,215.0
004-12,114.0,162.5,107.5,-,114.0
006-11,69.0,-,69.0,-,69.0
012-04,149,179.0,131,116.5,155
012-12,164,257.5,140,-,164
006-09,110,79,113.0,-,110
006-62,105.5,-,105.5,-,105.5
006-17,124,223.0,105,-,124
006-64,93.5,-,93.5,-,93.5
008-14,118.0,116.5,118.0,-,118.0
009-35,167,183.5,151,-,167
006-08,135,188.5,125,-,135
009-06,122.0,122,121,84.0,136.0
008-01,101.5,104.5,100.0,107.0,98.5
008-03,95.0,96.5,94.0,102.5,91.5
008-04,117.5,98.0,131.0,108.0,119.0
008-06,89.5,76.0,95.0,82.0,95.0
008-02,101.0,95.0,102.5,-,101.0
006-07,127.0,157,107,69,137
012-13,142,165.5,133,-,142
008-12,112.0,113.5,112.0,-,112.0
004-07,175.0,163.0,187.0,-,175.0
002-14,137,-,137,-,137
004-14,208.0,247.0,173.5,-,208.0
002-03,183,271,165.0,148.5,220
002-09,159,214,120.5,-,159
006-40,126,289,101.0,-,126
002-15,179,221.0,175,-,179
009-34,126,121,133.5,-,126
006-13,57,77,52.0,-,57
004-01,121.0,124.5,101.0,-,121.0
006-06,107.0,784.5,95.0,89.0,127.0
006-39,173,142.0,184,-,173
006-01,107,131,104.5,-,107
002-10,118,-,118,-,118
008-11,105.0,104,105,-,105.0
004-10,141.5,172.0,66.5,-,141.5
004-03,132.0,132.0,-,-,132.0
006-37,154,351,108.0,-,154
004-15,211.0,486.5,136.5,-,211.0
009-16,105,105,-,-,105
006-70,121,-,121,-,121
006-63,179,-,179,-,179
012-36,193,-,193,-,193
006-60,231.0,-,231.0,-,231.0
