stopId,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
221,76,84,71.0,75.5,77
2230,138,159,126.0,107.5,142
2228,92,114,76.0,75.5,94
2226,130,152,117.0,122.5,138
2224,76,91,67.0,72.5,77
2222,109,138,99.0,100.5,115
2218,129,166.5,116,114.5,137
2216,111,154.0,91,90.0,119
2214,90,124.5,72,77.5,95
2212,108,147,96.0,81.5,117
14464,199,290,177.0,184.0,202
2102,132,152.0,129,148,130.5
2001,183,203.0,175,195.5,181
2005,168.0,186.5,157.5,191.0,163.5
2007,157.0,171.0,149.0,183.5,151.5
2009,177.0,184.0,170.0,188.0,173.5
2011,155.5,168,145,161.0,153.0
2013,197,207,191.5,222.0,193
2071,155.5,171.0,145.5,138.5,158.5
2073,139.0,160.0,129.5,124.5,142.5
2075,194.0,204.0,186.0,171.0,197.5
2077,193.5,203.5,185.0,168.5,202.0
2079,169.0,190.0,161.0,127.0,181.5
2081,164.0,182.5,153.0,136.0,177.0
2083,149.5,158,143,129.5,159.0
2085,155.0,163,148,128.5,161.5
2087,148.0,163.0,141.0,122.5,154.5
2089,168.5,187,166,155.5,176.5
2091,166.0,173.0,162.5,150.5,169.0
2093,163.0,190.0,146.0,142.5,168.0
2095,143.0,155,139,131.0,149.5
2097,166.5,181.0,161.0,156.0,171.5
2099,185.0,202.0,180.0,159.0,190.5
2054,96.5,139.0,80.5,114.0,93.0
2052,104.5,145.0,79.5,109.5,103.0
2050,101.5,139,91,107.0,99.5
2048,92.0,145.5,84.5,97.5,91.5
2046,130.0,170.0,120.0,124.0,130.5
2045,76,52,76.5,35,79.0
2047,64,60,64.0,25,70.0
2049,47,32,49.5,20,58.5
2051,32,22,34.5,5,40.5
2100,70.5,74.0,69.5,54.0,74.5
2098,91.5,92.5,91.5,82.5,96.0
2096,80.0,72.5,83.5,75.5,83.0
2094,129.0,122.0,131.0,129.0,129.0
2092,105.0,94,105,97.0,106.5
2090,77.0,71,79,78.5,75.0
2088,79.0,78,80,87.0,78.0
2086,77.0,73,78,81.0,75.0
2084,75.0,71,76,83.5,74.5
2082,78.0,72,81,78.0,77.5
2080,126.0,126,127,131.5,125.5
2078,115.0,113,116,119.0,113.0
2076,97.0,111.0,93.5,106.0,95.0
2074,112.0,119.5,107.0,112.0,112.0
2072,124.0,130.5,116.5,124.0,124.0
2014,101,119.5,92,67.5,105
2012,156,183.0,140,102.5,165
2010,139,178,116.0,77,146.0
2008,121,161.0,107,75.0,134
2006,159,201,140.0,105.0,165
2002,174.5,223,160,141,181
2101,203.0,240,190,128,213
2207,217.0,288,195,157,232
2211,219.0,280,209,134,226
2213,184.5,243,176,105,201
2215,229.0,304,217,141,243
2217,232.0,337,220,143,245
2221,230,333,216.5,162,250.5
2223,240,359,216.5,168,252.0
2225,223,332,208.5,137,239.0
2227,158,261,140.0,97,170.5
2229,221,351,196.0,148,237.0
2231,545,457,658.0,1022,481.0
213,31,30.5,31,13.0,32
2030,67.0,70.0,65.0,67,67
2028,88.0,92.5,88.0,89,88
2026,117.0,122,114,97,120
2024,73.0,86,67,54,74
2022,80.0,94.5,74.5,61,81
2020,127.0,145,122,90,131
2018,92.0,115,81,49,99
2016,105.0,127.0,94.5,52,111
2130,22.0,22.5,22.0,29,22
2128,38.5,39,38,32,40
2126,59.0,63,58,59,61
2124,54.5,55,54,51,57
2122,71.0,77.0,66.0,74,69
2120,73.0,81.0,71.5,76,72
2118,76.0,78.0,74.0,76,76
2116,97.5,102.0,92.5,99,94
2114,104.5,115.5,100.5,116,101
2110,78.5,93.5,73.0,91,78
2108,114.0,124.5,107.5,135,113
2106,121.5,128,119,129,118
2104,121.0,133,119,132,118
2061,161,168.5,154,172.5,160
2063,122,122.5,122,130.0,122
2065,106,108.5,105,102.0,106
2067,105,113.0,104,109.0,105
2069,147,147,146.5,148.5,144
2055,135.5,147,129,136.5,134.5
2057,119.0,128.5,114.5,122.5,118.5
201,106,542.0,62,109,103.5
207,144,141,152.0,120,152.0
2015,195,209,187.5,205.5,191
2017,153,164,136.5,149.0,153
2019,169,193,151.5,153.5,171
2021,112,131,88.5,88.5,115
2023,149,167,141.0,144.0,152
2025,166,209,142.0,137.0,177
2027,117,170,97.0,83.5,120
2029,133,177.0,112,100.0,137
2031,160,199.5,142,147.0,165
14825,90,780.0,44,22,111.0
14827,46,47.5,44,34,46.0
14821,85,92.0,79,100,83.0
14819,57,64.0,56,58,57.0
14818,81,83.0,77,102,78.5
14815,104,111,101.0,119,102.0
14547,105,113,101.5,114,103.0
14546,74,78,71.0,111,73.0
14538,121,124,121.0,152,120.0
14540,117,147,101.5,142,114.0
14536,90,95,88.0,123,88.0
2150,146,152.0,144,157,145.0
2148,143,150.0,141,157,138.5
2146,143,149.5,141,163,140.0
2144,180,199,175.0,215,176.5
2142,172,195,164.5,203,169.0
2140,185,215,178.0,208,181.5
2138,217,235.0,212,231,215.5
2033,158.5,209,149,159,158
2035,130.5,165,118,128,131
2037,143.5,187,133,141,146
2039,142.5,183,126,152,141
2041,155.0,186.0,133.0,156,155
2043,164.5,184.5,152.5,152,166
202,482,303.0,483,1262,481.0
2044,82,125.5,64,73.5,83
2042,90,134.5,77,72.5,90
2040,83,121.0,68,74.5,84
2038,99,138.5,88,84.0,103
2036,103,131.5,94,102.5,103
2034,99,125,88.5,89.0,101
2137,259.5,349,217,238.0,263.5
2139,237.0,318,213,226.0,242.5
2141,203.0,275,178,190.5,204.0
2143,206.0,287,186,202.5,208.5
2145,213.0,291.0,179.0,198.0,217.0
2147,235.0,322.0,201.5,222.0,246.5
2149,204.5,272.0,178.5,206.5,204.5
14535,212.5,275.5,190.0,194.5,225.0
14537,246.5,328.5,216.0,221.5,266.0
14539,267.5,342.5,235.0,257.0,268.5
14545,260.5,314.5,227.0,250.0,260.5
14587,292.0,352.5,255.5,245.5,293.0
14816,282.0,372.5,252.0,245.0,287.0
14817,282.0,362.5,228.0,237.5,284.0
14820,294.5,385.5,246.0,262.0,297.0
14822,319.5,398.0,300.0,293.0,320.5
14829,285.0,356.0,248.0,253.0,288.0
2103,189.0,230.0,176.5,127.0,212.0
2105,184.0,224.0,168.0,120.0,203.5
2107,207.5,231,192,157.0,223.0
2109,176.0,189,164,126.0,189.0
2113,145.0,170,137,121.0,162.5
2115,150.5,173,121,77.0,163.5
2117,141.0,164.5,124.5,82.0,154.0
2119,149.0,168.0,120.5,85.5,155.5
2121,141.0,185.5,125.0,93.5,156.5
2123,141.0,178.0,126.5,88.0,153.5
2125,126.5,172,122,83.5,140.0
2127,161.0,188,150,113.5,174.0
2129,133.0,159,122,90.5,143.5
2131,113,112.5,117,43,144.5
14664,422,420,425.0,482,420.0
2058,16,26,14.5,16,16.0
2056,96,94,96.0,82,99.0
2070,88,98.5,82,104,87.0
