variant,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
T11R2,162.0,283.5,145.0,130.0,183.0
T12R2,133,177.0,128,105,143.0
T32R6,143.5,-,143.5,-,143.5
T302R8,112.0,111.0,112.0,117.5,110.0
T42R9,146.0,168.0,124.0,120.0,151.0
T201R12,135,157,127.0,155,129.0
T212R12,219.0,252,168,-,219.0
T202R12,162,218,138.0,147,164.0
T71R9,127.0,132.0,124.0,84,146
T11R9,147,190.5,122,112.0,151
T52R6,137,204,114.0,99.0,141
T21R8,97.0,99.0,97.0,96.0,97.0
T12R9,149.0,160,136,-,149.0
T211R12,141.0,155.0,132.0,-,141.0
T42R4,143.5,155.0,121.5,-,143.5
T22R6,61.0,30.0,62.0,-,61.0
T12R4,145.0,143.0,146.0,-,145.0
T22R4,1178.5,1178.5,-,-,1178.5
T32R4,239.5,170.5,322.0,-,239.5
T72R6,97.5,-,97.5,-,97.5
