vehicleProductionYear,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
1981,152.0,176,137,-,152.0
1980,156.0,180,142,-,156.0
2011,126,147,119.0,112,132.0
2010,110.0,129.0,101.0,76,117
2007,138,140,135.5,-,138
2000,98,90,118.0,-,98
1996,181,202.0,163,-,181
2020,132.0,159.0,123.0,129,132
2019,130,141,123.0,147.0,126
1983,164,256,129.0,-,164
2021,129.0,188.0,104.0,-,129.0
2014,136,154.0,127,90,141.0
1978,168.0,106,177,-,168.0
1979,154.0,255,127,-,154.0
1999,94.0,93.0,94.0,-,94.0
