id,name
14825,Lawendowe Wzgórze
14827,Ujeœcisko
14821,Zabornia
14819,Stolema
14818,£abêdzia
14815,Królewskie Wzgórze
14547,Migowo
14546,Budapesztañska
14540,Warneñska
14538,Belgradzka
14536,Piekarnicza
2150,Siedlce
2148,Skrajna
2146,Zakopiañska
2144,Ciasna
2142,Paska
2140,Powstañców Warszawskich
2138,Hucisko
2001,Dworzec G³ówny
2005,Brama Oliwska
2007,Chodowieckiego
2009,Uniwersytet Medyczny
2011,Traugutta
2015,Opera Ba³tycka
2017,Politechnika
2019,Miszewskiego
2021,Jaœkowa Dolina
2023,Klonowa
2025,Galeria Ba³tycka
2027,Wojska Polskiego
2029,Zamenhofa
2031,Zajezdnia
2033,Strzy¿a PKM
2035,Uniwersytet Gdañski
2037,Ba¿yñskiego
2039,Tetmajera
2041,Derdowskiego
2043,Obroñców Westerplatte
202,Oliwa
2046,Oliwa
2044,Obroñców Westerplatte
2042,Derdowskiego
2040,Tetmajera
2038,Ba¿yñskiego
2036,Uniwersytet Gdañski
2034,Strzy¿a PKM
2030,Zajezdnia
2028,Zamenhofa
2026,Wojska Polskiego
2024,Galeria Ba³tycka
2022,Klonowa
2020,Jaœkowa Dolina
2018,Miszewskiego
2016,Politechnika
2014,Opera Ba³tycka
2012,Traugutta
2010,Uniwersytet Medyczny
2008,Chodowieckiego
2006,Brama Oliwska
2002,Dworzec G³ówny
2137,Hucisko
2139,Powstañców Warszawskich
2141,Paska
2143,Ciasna
2145,Zakopiañska
2147,Skrajna
2149,Siedlce
14535,Piekarnicza
14537,Belgradzka
14539,Warneñska
14545,Budapesztañska
14587,Migowo
14816,Królewskie Wzgórze
14817,£abêdzia
14820,Stolema
14822,Zabornia
14829,Ujeœcisko
201,Jelitkowo
2058,Helska
2056,Osiedle Wejhera
2100,Pomorska
2098,Piastowska
2096,Czerwony Dwór
2094,Bora-Komorowskiego
2092,Ko³obrzeska
2090,Zaspa
2088,Startowa
2086,Jana Paw³a II
2084,¯wirki i Wigury
2082,Bajana
2080,Legionów
2078,Plac Komorowskiego
2076,Mickiewicza
2074,Reja
2072,Wyspiañskiego
2070,Kliniczna
2068,Twarda
2066,Stocznia Pó³nocna
2064,Stocznia SKM
2062,Plac Solidarnoœci
2101,Brama Wy¿ynna
2103,Okopowa
2105,¯abi Kruk
2107,Chmielna
2109,Akademia Muzyczna
2113,Brama ¯u³awska
2115,G³êboka
2117,Przeróbka
2119,Lenartowicza
2121,Sucharskiego
2123,Kaczeñce
2125,Ugory eMOCja
2127,Zimna
2129,Stogi
2130,Stogi
2128,Zimna
2126,Ugory eMOCja
2124,Kaczeñce
2122,Sucharskiego
2120,Lenartowicza
2118,Przeróbka
2116,G³êboka
2114,Brama ¯u³awska
2110,Akademia Muzyczna
2108,Chmielna
2106,¯abi Kruk
2104,Okopowa
2102,Brama Wy¿ynna
2061,Plac Solidarnoœci
2063,Stocznia SKM
2065,Stocznia Pó³nocna
2067,Twarda
2069,Kliniczna
2071,Wyspiañskiego
2073,Reja
2075,Mickiewicza
2077,Plac Komorowskiego
2079,Legionów
2081,Bajana
2083,¯wirki i Wigury
2085,Jana Paw³a II
2087,Startowa
2089,Zaspa
2091,Ko³obrzeska
2093,Bora-Komorowskiego
2095,Czerwony Dwór
2097,Piastowska
2099,Pomorska
2055,Osiedle Wejhera
2057,Helska
